no	company_name	stage3_scope	management	immediate_owners	ownership_pct	ultimate_control	ownership_type	primary_dm	primary_dm_role	primary_dm_reason	curated_source_url	confidence	review_note
44	Ulreich VerwaltungsGmbH	MAIN	Mag Hans Jörg Ulreich	Mag Hans Jörg Ulreich	100%	Hans Jörg Ulreich	INDIVIDUAL_FAMILY_CONTROL	Hans Jörg Ulreich	Owner / Geschäftsführer	100% owner-manager	https://www.firmenatlas.com/firma/393764s	HIGH	Current ownership and management
45	ÖBB-Immobilienmanagement Gesellschaft mbH	MAIN	Erich Pirkl; Claudia Brey	ÖBB-Infrastruktur AG	100% sole shareholder	Republic of Austria via ÖBB-Holding AG	PUBLIC_STATE	Erich Pirkl; Claudia Brey	Geschäftsführer	State-owned corporate chain; local Immobilienmanagement GFs are actionable	https://immobilien.oebb.at/	HIGH	Current management and sole parent confirmed in public corporate registry
46	Alpen Real Immobilien GmbH	MAIN	Thomas Kletzmayr	Eva Maria Bamberger; Ingrid Hartlauer	Not publicly shown in free EVI	Bamberger/Hartlauer ownership	PARTNER_OWNED	Thomas Kletzmayr	Geschäftsführer	Shareholding is private but percentages unresolved; current GF is safest first outreach	https://www.alpenreal.at/	MEDIUM_HIGH	Current management/shareholders established in public registry research
47	Dr. Peter Dirnbacher Immobilientreuhand GmbH & Co KG	MAIN	Mag Saeed Akhondi; Mag Barbara Zimmeter-Haidvogel	Dr. Peter Dirnbacher Immobilientreuhand GmbH (general partner); Saeed Akhondi; Barbara Zimmeter-Haidvogel; Patrick Jungmann GmbH	Kommandit interests: Akhondi 33.33%; Zimmeter-Haidvogel 33.33%; Patrick Jungmann GmbH 33.33%	Three-way partner control through managing GmbH/KG structure	PARTNER_OWNED	Saeed Akhondi; Barbara Zimmeter-Haidvogel	Geschäftsführer / Kommanditisten	Both are current GFs of the managing entity and each holds one-third KG interest	https://www.firmenabc.at/dr-peter-dirnbacher-immobilientreuhand-gmbh-co-kg_KHPI	HIGH	Current structure after July 2024 change
48	Immobilienkanzlei Mag. Wolf-Dietrich Schneeweiss e.U.	MAIN	Mag Wolf-Dietrich Schneeweiss	Mag Wolf-Dietrich Schneeweiss	100% sole proprietor	Wolf-Dietrich Schneeweiss	SOLE_PROPRIETOR	Wolf-Dietrich Schneeweiss	Inhaber	Named sole proprietor	https://firmen.wko.at/	HIGH	Exact WKO sole-trader identity used in Stage 2 master
49	McArthurGlen Management Gesellschaft m.b.H.	MAIN	Mario Schwann; Susie McCabe; Petr Proy	McArthurGlen UK Limited	100%	McArthurGlen / parent group	CORPORATE_GROUP	Mario Schwann	Geschäftsführer	International parent; local Austrian centre-management executive prioritized	https://www.mcarthurglen.com/	HIGH	Current public registry/business data shows 100% UK parent
50	SERIA Immobilien & Treuhand GmbH	MAIN	Ulrike Fabian	Austria Handel & Treuhand GmbH	100%	Töpfl Privatstiftung via Austria Handel & Treuhand GmbH	FOUNDATION_CONTROL	Ulrike Fabian	Geschäftsführerin	Foundation/corporate owner; local operating GF is first outreach layer	https://www.seria.at/	HIGH	Parent Austria Handel & Treuhand is 100% Töpfl Privatstiftung in public registry data
51	Woge Realitäten Gesellschaft m.b.H.	MAIN	Helene Strizsik	Günther Fleihaus; Helene Strizsik; Günter Fleihaus; Thomas Christian Mathauser; Nicole Victoria Mathauser	50%; 16.67%; 16.67%; 8.33%; 8.33%	Günther Fleihaus as largest 50% holder	PARTNER_OWNED	Günther Fleihaus; Helene Strizsik	Largest shareholder; Geschäftsführerin	Largest owner plus operating GF	https://www.evi.gv.at/f/125884z	MEDIUM_HIGH	Current shareholder names cross-checked; percentages from public business-registry data
52	CBRE GmbH	MAIN	Lukas Schwarz; Salomie Robinson	Relam Amsterdam Holdings B.V.	100% sole shareholder	CBRE Group, Inc.	CORPORATE_GROUP	Lukas Schwarz; Salomie Robinson	Geschäftsführer	Global corporate ownership; Austria GFs are actionable decision layer	https://www.cbre.at/	HIGH	Current public registry/corporate research
53	Haus & Grund Immobilien Management GmbH	MAIN	Karin Mayr; Florian Hörmann	GIM-Beteiligungsholding GmbH	100% sole shareholder	GIM/IMV group under material Wolfgang Macho control	CORPORATE_GROUP	Karin Mayr; Florian Hörmann	Geschäftsführer	Corporate owner; current operating management first, with Macho as group-control escalation	https://imv.co.at/uber-uns/	HIGH	Official IMV group source used for control context
54	KAPPACHER-SELINA Hausverwaltung GmbH	MAIN	Berthold Rindfleisch	Selina Verwaltung und Gebäudemanagement GmbH	100% sole shareholder	SELINA Hausverwaltung u. Facility-Management GmbH / SELINA group	CORPORATE_GROUP	Berthold Rindfleisch	Geschäftsführer	Same executive leads parent chain; direct operating GF is first target	https://www.evi.gv.at/f/431702g | https://www.firmenabc.at/selina-hausverwaltung-u-facility-management-gmbh_DXRv	HIGH	Parent chain publicly confirmed
55	Realverwaltung GmbH	MAIN	Dr Christian Harisch; Stefan Rutter; Andreas Wedenig	ECA Privatstiftung; Mona Lisa Privatstiftung	50%; 50%	ECA Privatstiftung and Mona Lisa Privatstiftung	FOUNDATION_CONTROL	Stefan Rutter; Christian Harisch	Geschäftsführer	50/50 foundation ownership without public individual controller; longstanding local GFs prioritized	https://firmenmonitor.com/firma/realverwaltung-gmbh-249935b	HIGH	Current management and exact 50/50 ownership
56	WARIWODA & RICHTER Immobilientreuhandgesellschaft m.b.H.	MAIN	Michael Wariwoda	Michael Wariwoda; Max Richter; Nicole Gruber	Not publicly shown in free EVI	Wariwoda/Richter/Gruber private ownership	PARTNER_OWNED	Michael Wariwoda	Geschäftsführer / Gesellschafter	Current GF is also shareholder	https://www.wariwoda.at/	MEDIUM_HIGH	Current public registry research
57	AREV Immobilien Gesellschaft m.b.H.	MAIN	Ing Claus Pargfrieder MBA; Mag Gerald Hommer; DI Dr Horst Lischka MBA	AREV Holding GmbH	100% sole shareholder	LAWOG and Oberösterreichische Versicherung via AREV Holding GmbH	CORPORATE_GROUP	Claus Pargfrieder; Gerald Hommer; Horst Lischka	Geschäftsführer	Institutional parent; current operating GFs are outreach targets	https://www.evi.gv.at/f/384773v | https://www.evi.gv.at/f/383426m	HIGH	Current 2026 holding structure
58	Franz Kramas Gebäudeverwaltung G.m.b.H.	MAIN	Karl Wiesflecker	Karl Wiesflecker	100%	Karl Wiesflecker	INDIVIDUAL_FAMILY_CONTROL	Karl Wiesflecker	Owner / Geschäftsführer	Sole owner-manager	https://www.kramas.at/	HIGH	Current public registry/business data
59	IMMOcontract Real Estate Management GmbH	MAIN	Harald Hundskarl; Thomas Sturm	ADOMO Beteiligungs GmbH	100% sole shareholder	ADOMO group	CORPORATE_GROUP	Harald Hundskarl; Thomas Sturm	Geschäftsführer	Corporate owner; operating GFs are direct decision layer	https://www.immocontract.at/	HIGH	Current public registry research
60	Palladio Immobilien GmbH	MAIN	Herta Oppitz; Johannes Hafner	Palladio Beteiligungs GmbH	100% sole shareholder	Palladio group	CORPORATE_GROUP	Herta Oppitz; Johannes Hafner	Geschäftsführer	Corporate parent; local GFs are first outreach	https://www.palladio.at/	MEDIUM_HIGH	Current public registry research
61	Stiller & Hohla Immobilientreuhänder GmbH	MAIN	Leo Hohla; Franz Stiller; Helmuth Kollmann; Andrea Stiller	Hohla Holding GmbH; Stiller Holding GmbH	50%; 50%	Hohla family holding and Stiller family holding	INDIVIDUAL_FAMILY_CONTROL	Leo Hohla; Franz Stiller	Owner-family Geschäftsführer	50/50 family holdings; both principal family executives prioritized	https://www.stiller-hohla.at/	HIGH	Current 50/50 holding structure from public registry/business data
62	WSE Wiener Standortentwicklung GmbH	MAIN	Josef Herwei; Andreas Meinhold	Wien Holding GmbH	100% sole shareholder	City of Vienna via Wien Holding	PUBLIC_STATE	Josef Herwei; Andreas Meinhold	Geschäftsführer	Municipal holding owner; operating GFs are actionable	https://www.wse.at/	HIGH	Current public ownership/management
63	Brichard Immobilien GmbH	MAIN	Oliver Brichard	Oliver Brichard; Robert Trescher	Not publicly shown in free EVI	Brichard/Trescher private ownership	PARTNER_OWNED	Oliver Brichard	Geschäftsführer / Gesellschafter	Operating GF is a shareholder and visible principal	https://www.brichard.at/ueber-uns/team/	HIGH	Official company source plus registry shareholder research
64	Gutwerk Immobilien Treuhand GmbH	MAIN	Stefan Jaitler; Barbara Jaitler-Konya	Consult Data Rechenzentrum GmbH	100% sole shareholder	Consult Data group	CORPORATE_GROUP	Stefan Jaitler; Barbara Jaitler-Konya	Geschäftsführer	Corporate parent; operating GFs are first outreach	https://www.gutwerk.at/	MEDIUM_HIGH	Current public registry research
65	IVB-Immobilienvermarktung und Bauträger Ges.m.b.H.	MAIN	Matthias Zachs; Günter Buchinger	Koch Vermögensverwaltung GmbH; BANK BURGENLAND Immobilien Holding GmbH; Buchinger Immobilien GesmbH	33.33%; 33.33%; 33.33%	Three-way corporate ownership consortium	CORPORATE_GROUP	Matthias Zachs; Günter Buchinger	Geschäftsführer	No controlling shareholder; current operational GFs prioritized	https://www.evi.gv.at/f/110194a	HIGH	Equal thirds from public business-registry data; current shareholder list cross-checked
66	Pusta & Partner HausverwaltungsGmbH	MAIN	Markus Pusta; Lukas Pusta-Katzian	Günter Pusta; Markus Pusta; Lukas Pusta-Katzian	Not publicly shown in free EVI	Pusta family ownership	INDIVIDUAL_FAMILY_CONTROL	Markus Pusta; Lukas Pusta-Katzian	Geschäftsführer / Gesellschafter	Both operating GFs are family shareholders	https://www.pusta.at/	HIGH	Current public registry research
